id_kelurahan;id_kecamatan;nama_kelurahan
1;1;Alue Bagok
2;1;Alue Batee
3;1;Alue Sundak
4;1;Arongan
5;1;Cot Buloh
6;1;Cot Juru Mudi
7;1;Cot Kumbang
8;1;Drien Rampak
9;1;Gunong Pulo
10;1;Karang Hampa
11;1;Keub
12;1;Kubu
13;1;Pante Mutia
14;1;Panton Bahagia
15;1;Panton Makmu
16;1;Peulanteu Lb
17;1;Peuribu
18;1;Rimba Langgeh
19;1;Seuneubok Lhong
20;1;Seuneubok Teungoh
21;1;Simpang Peut
22;1;Suak Bidok
23;1;Suak Ie Beuso
24;1;Suak Keumudee
25;1;Teupin Peraho
26;1;Ujong Beusa
27;1;Ujong Simpang
28;2;Alue Bakong
29;2;Alue Lhok
30;2;Beurawang
31;2;Blang Sibeutong
32;2;Cot Keumuneng
33;2;Cot Lada
34;2;Gunong Panah
35;2;Kuala Pling
36;2;Kuta Padang
37;2;Layung
38;2;Liceh
39;2;Peulanteu Sp
40;2;Rambong
41;2;Seumuleng
42;2;Seuneubok Trap
43;2;Suak Pangkat
44;2;Ulee Blang
45;3;Blang Beurandang
46;3;Drien Rampak
47;3;Gampa
48;3;Gampong Darat
49;3;Kampung Belakang
50;3;Kuta Padang
51;3;Lapang
52;3;Leuhan
53;3;Padang Seurahet
54;3;Panggong
55;3;Pasar Aceh
56;3;Pasir
57;3;Rundeng
58;3;Seuneubok
59;3;Suak Indrapuri
60;3;Suak Nie
61;3;Suak Raya
62;3;Suak Ribee
63;3;Suak Sigadeng
64;3;Ujong Baroh
65;3;Ujong Kalak
66;4;Alue Lhee
67;4;Alue Lhok
68;4;Alue On
69;4;Alue Peudeung
70;4;Alue Tampak
71;4;Babah Meulaboh
72;4;Batu Jaya
73;4;Beureugang
74;4;Blang Dalam
75;4;Blang Geunang
76;4;Drien Caleue
77;4;Kampong Mesjid
78;4;Keude Aron
79;4;Keude Tanjong
80;4;Keuramat
81;4;Marek
82;4;Meunasah Ara
83;4;Meunasah Buloh
84;4;Meunasah Gantung
85;4;Meunasah Rambot
86;4;Meunasah Rayeuk
87;4;Meunuang Tanjong
88;4;Muko
89;4;Padang Mancang
90;4;Padang Sikabu
91;4;Palimbungan
92;4;Pasi Ara
93;4;Pasi Jambu
94;4;Pasi Jeumpa
95;4;Pasi Kumbang
96;4;Pasi Meugat
97;4;Pasi Teungoh
98;4;Peunia
99;4;Pucok Pungkie
100;4;Pungkie
101;4;Putim
102;4;Puuk
103;4;Sawang Teubei
104;4;Simpang
105;4;Tanjong Bungong
106;4;Tanjong Meulaboh
107;4;Teladan
108;4;Teupin Panah
109;4;Tumpok Ladang
110;5;Balee
111;5;Bukit Jaya
112;5;Buloh
113;5;Gunong Kleng
114;5;Langung
115;5;Mesjid Tuha
116;5;Meureubo
117;5;Pasi Aceh Baroh
118;5;Pasi Aceh Tunong
119;5;Pasi Mesjid
120;5;Pasi Pinang
121;5;Paya Baro Ranto P
122;5;Paya Peunaga
123;5;Peunaga Cut Ujong
124;5;Peunaga Pasi
125;5;Peunaga Rayeuk
126;5;Pucok Reudeup
127;5;Pulo Teungoh
128;5;Ranto Panyang Barat
129;5;Ranto Panyang Timur
130;5;Ranub Dong
131;5;Reudeup
132;5;Sumber Batu
133;5;Ujong Drien
134;5;Ujong Tanjong
135;5;Ujong Tanoh Darat
136;6;Alue Keumang
137;6;Babah Iseung
138;6;Babah Krueng Tep Lep
139;6;Babah Lueng
140;6;Berdikari
141;6;Canggai
142;6;Gunong Tarok
143;6;Jambak
144;6;Keude Suak Awe
145;6;Keutambang
146;6;Kreung Beukah
147;6;Lango
148;6;Lawet
149;6;Lhok Guci
150;6;Lhok Sari
151;6;Manjeng
152;6;Meunuang Kinco
153;6;Pante Ceuremen
154;6;Pulo Teungoh Manjeng
155;6;Sawang Rambot
156;6;Seumantok
157;6;Seumara
158;6;Sikundo
159;6;Suak Awe
160;6;Tegal Sari
161;7;Antong
162;7;Babah Krueng Manggie
163;7;Baro Paya
164;7;Blang Balee
165;7;Blang Teungoh
166;7;Cot Manggie
167;7;Gampong Baro
168;7;Gunong Mata Ie
169;7;Kuala Manyeue
170;7;Lek-Lek
171;7;Manggie
172;7;Mentulang
173;7;Mugo Cut
174;7;Mugo Rayeuk
175;7;Paya Baro Meuko
176;7;Sibintang
177;7;Tamping
178;7;Tuwi Buya
179;7;Ujong Raja
180;8;Alue Raya
181;8;Cot Amun
182;8;Cot Darat
183;8;Cot Lampise
184;8;Cot Mesjid
185;8;Cot Pluh
186;8;Cot Seulamat
187;8;Cot Seumeureung
188;8;Deuah
189;8;Gampong Cot
190;8;Gampong Ladang
191;8;Gampong Teungoh
192;8;Keureuseng
193;8;Krueng Tinggai
194;8;Kuala Bubon
195;8;Leubok
196;8;Leukeun
197;8;Lhok Bubon
198;8;Mesjid Baro
199;8;Pange
200;8;Paya Lumpat
201;8;Pinem
202;8;Pucok Lueng
203;8;Rangkileh
204;8;Reusak
205;8;Suak Geudeubang
206;8;Suak Pandan
207;8;Suak Pante Breuh
208;8;Suak Seuke
209;8;Suak Seumaseh
210;8;Suak Timah
211;8;Ujong Nga
212;9;Drien Sibak
213;9;Gaseu
214;9;Geudong
215;9;Gleng
216;9;Gunong Buloh
217;9;Kajeung
218;9;Lancong
219;9;Lubok Beutong
220;9;Lueng Baro
221;9;Pungkie
222;9;Ramitie
223;9;Sakuy
224;9;Sarah Perlak
225;9;Sipot
226;9;Tanoh Mirah
227;9;Tungkop
228;9;Tutut
229;9;Tuwi Saya
230;10;Alue Blang
231;10;Alue Panyang
232;10;Alue Sikaya
233;10;Alue Sundak
234;10;Aron Baroh
235;10;Aron Tunong
236;10;Bakat
237;10;Blang Mee
238;10;Cot Keumude
239;10;Cot Lagan Bubon
240;10;Cot Murong
241;10;Cot Situah
242;10;Darul Huda
243;10;Drien Mangko
244;10;Geumpa Raya
245;10;Glee Siblah
246;10;Gunong Hampa
247;10;Gunong Rambong
248;10;Ie Itam Baroh
249;10;Ie Itam Tunong
250;10;Jawa
251;10;Jawi
252;10;Keuleumbah
253;10;Kuala Bhee
254;10;Lueng Buloh
255;10;Lueng Jawa
256;10;Lueng Tanoh Tho
257;10;Lueng Teungku Yah
258;10;Padang Jawa
259;10;Panton
260;10;Pasi Aceh
261;10;Pasi Ara
262;10;Pasi Birah
263;10;Pasi Lunak
264;10;Pasi Pandan
265;10;Paya Dua
266;10;Paya Luah
267;10;Pulo Ie
268;10;Ranto Panyang
269;10;Seumantok
270;10;Suak Trieng
271;10;Teumarom
272;10;Tingkeum Panyang
273;11;Alue Keumuning
274;11;Alue Leuhob
275;11;Alue Perman
276;11;Blang Cot Mameh
277;11;Blang Cot Rubek
278;11;Blang Luah Lm
279;11;Cot Lagan Lm
280;11;Cot Rambong
281;11;Ie Sayang
282;11;Karak
283;11;Kulam Kaju
284;11;Leubok Pasi Ara
285;11;Lhok Malee
286;11;Lueng Baro
287;11;Mon Pasong
288;11;Napai
289;11;Pasi Jeut
290;11;Pasi Malee
291;11;Pasi Mali
292;11;Pasi Panyang
293;11;Peuleukueng
294;11;Simpang Teumarom
295;11;Ulee Pasi Ara
296;11;Ulee Pulo
297;12;Alue Bilie
298;12;Alue Eumpeuk
299;12;Alue Kuyun
300;12;Alue Meuganda
301;12;Alue Seuralen
302;12;Blang Dalam
303;12;Blang Luah Kb
304;12;Blang Makmue
305;12;Bukit Meugajah
306;12;Cot Punti
307;12;Gampong Baro Kb
308;12;Gampong Baro Wt
309;12;Gunong Panyang
310;12;Kubu Capang
311;12;Lubuk Panyang
312;12;Pasi Ara Wt
313;12;Pasi Janeng
314;12;Paya Baro
315;12;Paya Meugendrang
316;12;Rambong
317;12;Rambong Pinto
318;12;Seuneubok Dalam
319;12;Seuradeuk
320;12;Tangkeh
321;12;Teumiket Ranom
322;12;Tuwi Eumpeuk
323;13;Alue Dawah
324;13;Alue Jeurejak
325;13;Alue Peunawa
326;13;Blang Dalam
327;13;Blang Raja
328;13;Cot Seumantok
329;13;Gunung Samarinda
330;13;Ie Mirah
331;13;Lhok Gayo
332;13;Pante Cermin
333;13;Pante Rakyat
334;13;Rukoen Dame
335;13;Simpang Gadeng
336;13;Teladan Jaya
337;14;Alue Manggota
338;14;Babah Lhueng
339;14;Baharu
340;14;Cot Jeurat
341;14;Geulumpang Payong
342;14;Gudang
343;14;Guhang
344;14;Keude Paya
345;14;Keude Siblah
346;14;Kuta Bahagia
347;14;Kuta Tinggi
348;14;Kuta Tuha
349;14;Lam Kuta
350;14;Lhung Asan
351;14;Lhung Tarok
352;14;Mata Ie
353;14;Meudang Ara
354;14;Panton Raya
355;14;Pasar Blangpidie
356;14;Seunaloh
357;15;Alue Rambot
358;15;Alue Seulaseh
359;15;Alue Sungai Pinang
360;15;Asoe Nanggroe
361;15;Baru
362;15;Cot Mane
363;15;Ikue Lhung
364;15;Jeumpa Barat
365;15;Kuta Jeumpa
366;15;Kuta Makmur
367;15;Ladang Neubok
368;15;Padang Geulumpang
369;16;Alue Padee
370;16;Alue Pisang
371;16;Blang Makmur
372;16;Blang Panyang
373;16;Drien Beurumbang
374;16;Geulanggang Gajah
375;16;Ie Mameh
376;16;Kampung Tengah
377;16;Keude Baro
378;16;Kota Bahagia
379;16;Krueng Batee
380;16;Krueng Panto
381;16;Kuala Terubue
382;16;Lama Tuha
383;16;Lhok Gajah
384;16;Lhung Geulumpang
385;16;Muka Blang
386;16;Padang Sikabu
387;16;Panto Cut
388;16;Pasar Kota Bahagia
389;16;Rumoh Panyang
390;17;Alue Rambot
391;17;Cot Bak-U
392;17;Geulanggang Batee
393;17;Kayee Aceh
394;17;Kuta Paya
395;17;Ladang Tuha I
396;17;Ladang Tuha Ii
397;17;Meunasah Sukon
398;17;Meunasah Tengah
399;17;Meurandeh
400;17;Padang Keulele
401;17;Sukadamai
402;17;Tokoh Ii
403;17;Ujung Tanah
404;18;Blang Manggeng
405;18;Kedai
406;18;Ladang Panah
407;18;Lhok Pawoh
408;18;Lhok Puntoy
409;18;Lhueng Baro
410;18;Padang
411;18;Pante Cermin
412;18;Pante Pirak
413;18;Pante Raja
414;18;Panton Makmur
415;18;Paya
416;18;Pusu Ingin Jaya
417;18;Sejahtera
418;18;Seuneulop
419;18;Tengah
420;18;Tokoh
421;18;Ujung Tanah
422;19;Alue Dama
423;19;Cinta Makmur
424;19;Kuta Murni
425;19;Lhang
