id_prodi,kode_prodi,tahun,daya_tampung,peminat,diterima,keketatan
111001,11111001,2021,55,391,60,14.07%
111001,11111001,2022,55,389,70,14.14%
111001,11111001,2023,50,401,60,12.47%
111001,11111001,2024,72,350,72,20.57%
111001,11111001,2025,72,334,72,21.56%
111002,11111002,2021,45,498,46,9.04%
111002,11111002,2022,45,435,46,10.34%
111002,11111002,2023,54,469,54,11.51%
111002,11111002,2024,84,525,84,16%
111002,11111002,2025,84,515,84,16.31%
111003,11111003,2021,35,229,35,15.28%
111003,11111003,2022,35,172,35,20.35%
111003,11111003,2023,30,221,30,13.57%
111003,11111003,2024,36,259,36,13.9%
111003,11111003,2025,36,282,36,12.77%
111004,11111004,2021,35,180,35,19.44%
111004,11111004,2022,35,174,35,20.11%
111004,11111004,2023,35,137,35,25.55%
111004,11111004,2024,48,207,48,23.19%
111004,11111004,2025,54,225,54,24%
111005,11111005,2021,35,326,35,10.74%
111005,11111005,2022,35,303,35,11.55%
111005,11111005,2023,38,260,38,14.62%
111005,11111005,2024,48,272,48,17.65%
111005,11111005,2025,48,259,48,18.53%
111006,11111006,2021,35,205,35,17.07%
111006,11111006,2022,35,189,34,18.52%
111006,11111006,2023,30,180,30,16.67%
111006,11111006,2024,48,217,48,22.12%
111006,11111006,2025,48,299,48,16.05%
111007,11111007,2021,30,201,30,14.93%
111007,11111007,2022,30,225,33,13.33%
111007,11111007,2023,30,186,30,16.13%
111007,11111007,2024,36,181,36,19.89%
111007,11111007,2025,36,252,36,14.29%
111008,11111008,2021,30,441,30,6.8%
111008,11111008,2022,28,380,31,7.37%
111008,11111008,2023,28,317,28,8.83%
111008,11111008,2024,48,309,48,15.53%
111008,11111008,2025,48,348,48,13.79%
111009,11111009,2021,35,116,35,30.17%
111009,11111009,2022,30,116,30,25.86%
111009,11111009,2023,29,114,29,25.44%
111009,11111009,2024,36,111,36,32.43%
111009,11111009,2025,39,125,39,31.2%
111010,11111010,2021,30,142,30,21.13%
111010,11111010,2022,20,131,23,15.27%
111010,11111010,2023,25,107,25,23.36%
111010,11111010,2024,48,125,48,38.4%
111010,11111010,2025,48,180,48,26.67%
111011,11111011,2021,30,200,30,15%
111011,11111011,2022,35,212,35,16.51%
111011,11111011,2023,35,194,35,18.04%
111011,11111011,2024,48,187,48,25.67%
111011,11111011,2025,48,239,48,20.08%
111012,11111012,2021,30,327,30,9.17%
111012,11111012,2022,30,274,30,10.95%
111012,11111012,2023,33,210,33,15.71%
111012,11111012,2024,48,227,48,21.15%
111012,11111012,2025,36,271,36,13.28%
111013,11111013,2021,30,293,30,10.24%
111013,11111013,2022,30,246,30,12.2%
111013,11111013,2023,33,245,33,13.47%
111013,11111013,2024,48,279,48,17.2%
111013,11111013,2025,36,297,36,12.12%
111014,11111014,2021,25,97,25,25.77%
111014,11111014,2022,25,91,25,27.47%
111014,11111014,2023,28,83,28,33.73%
111014,11111014,2024,48,103,48,46.6%
