id_prodi,kode_prodi,id_ptn,nama_prodi,jenjang,daya_tampung_sekarang,jenis_portofolio
111001,11111001,111,"PENDIDIKAN DOKTER HEWAN",S1,72,"Tidak Ada"
111002,11111002,111,"TEKNIK SIPIL",S1,84,"Tidak Ada"
111003,11111003,111,"TEKNIK MESIN",S1,36,"Tidak Ada"
111004,11111004,111,"TEKNIK KIMIA",S1,54,"Tidak Ada"
111005,11111005,111,ARSITEKTUR,S1,48,"Tidak Ada"
111006,11111006,111,"TEKNIK ELEKTRO",S1,48,"Tidak Ada"
111007,11111007,111,AGROTEKNOLOGI,S1,36,"Tidak Ada"
111008,11111008,111,AGRIBISNIS,S1,48,"Tidak Ada"
111009,11111009,111,PETERNAKAN,S1,44,"Tidak Ada"
111010,11111010,111,"TEKNOLOGI PANGAN DAN HASIL PERTANIAN",S1,48,"Tidak Ada"
111011,11111011,111,"TEKNIK PERTANIAN",S1,42,"Tidak Ada"
111012,11111012,111,"PENDIDIKAN BIOLOGI",S1,36,"Tidak Ada"
111013,11111013,111,"PENDIDIKAN MATEMATIKA",S1,36,"Tidak Ada"
111014,11111014,111,"PENDIDIKAN FISIKA",S1,36,"Tidak Ada"
111015,11111015,111,"PENDIDIKAN KIMIA",S1,36,"Tidak Ada"
111016,11111016,111,"PENDIDIKAN DOKTER",S1,75,"Tidak Ada"
111017,11111017,111,"ILMU KEPERAWATAN",S1,108,"Tidak Ada"
111018,11111018,111,"PENDIDIKAN DOKTER GIGI",S1,30,"Tidak Ada"
111019,11111019,111,MATEMATIKA,S1,24,"Tidak Ada"
111020,11111020,111,FISIKA,S1,24,"Tidak Ada"
111021,11111021,111,KIMIA,S1,24,"Tidak Ada"
111022,11111022,111,BIOLOGI,S1,24,"Tidak Ada"
111023,11111023,111,"ILMU KELAUTAN",S1,48,"Tidak Ada"
111024,11111024,111,"BUDIDAYA PERAIRAN",S1,48,"Tidak Ada"
111025,11111025,111,"TEKNIK INDUSTRI",S1,36,"Tidak Ada"
111026,11111026,111,INFORMATIKA,S1,36,"Tidak Ada"
111027,11111027,111,FARMASI,S1,27,"Tidak Ada"
111028,11111028,111,"TEKNIK GEOFISIKA",S1,24,"Tidak Ada"
111029,11111029,111,"TEKNIK PERTAMBANGAN",S1,36,"Tidak Ada"
111030,11111030,111,STATISTIKA,S1,36,"Tidak Ada"
111031,11111031,111,"PEMANFAATAN SUMBERDAYA PERIKANAN",S1,36,"Tidak Ada"
111032,11111032,111,"ILMU TANAH",S1,36,"Tidak Ada"
111033,11111033,111,"TEKNIK GEOLOGI",S1,24,"Tidak Ada"
111034,11111034,111,"AGROTEKNOLOGI (PSDKU GAYO LUES)",S1,12,"Tidak Ada"
111035,11111035,111,"PENDIDIKAN BIOLOGI  (PDSKU GAYO LUES)",S1,12,"Tidak Ada"
111036,11111036,111,"KEHUTANAN (PSDKU GAYO LUES)",S1,18,"Tidak Ada"
111037,11111037,111,"PROTEKSI TANAMAN",S1,24,"Tidak Ada"
111038,11111038,111,"PERENCANAAN WILAYAH DAN KOTA",S1,36,"Tidak Ada"
111039,11111039,111,KEHUTANAN,S1,36,"Tidak Ada"
111040,11111040,111,"TEKNIK KOMPUTER",S1,48,"Tidak Ada"
111041,11111041,111,"EKONOMI PEMBANGUNAN",S1,48,"Tidak Ada"
111042,11111042,111,MANAJEMEN,S1,60,"Tidak Ada"
111043,11111043,111,AKUNTANSI,S1,60,"Tidak Ada"
111044,11111044,111,"ILMU HUKUM",S1,168,"Tidak Ada"
111045,11111045,111,"PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN",S1,42,"Tidak Ada"
111046,11111046,111,"PENDIDIKAN SEJARAH",S1,36,"Tidak Ada"
111047,11111047,111,"PENDIDIKAN EKONOMI",S1,48,"Tidak Ada"
111048,11111048,111,"PENDIDIKAN GEOGRAFI",S1,48,"Tidak Ada"
111049,11111049,111,"PENDIDIKAN BAHASA INDONESIA",S1,48,"Tidak Ada"
111050,11111050,111,"PENDIDIKAN BAHASA INGGRIS",S1,48,"Tidak Ada"
111051,11111051,111,"PENDIDIKAN SENI DRAMA TARI DAN MUSIK",S1,36,Sendratasik
111052,11111052,111,"PENDIDIKAN KESEJAHTERAAN KELUARGA",S1,48,"Tidak Ada"
111053,11111053,111,"PEND. JASMANI KESEHATAN DAN REKREASI",S1,60,Olahraga
111054,11111054,111,"BIMBINGAN KONSELING",S1,45,"Tidak Ada"
111055,11111055,111,"PENDIDIKAN GURU SEKOLAH DASAR",S1,69,"Tidak Ada"
111056,11111056,111,PSIKOLOGI,S1,24,"Tidak Ada"
111057,11111057,111,"ILMU POLITIK",S1,53,"Tidak Ada"
111058,11111058,111,SOSIOLOGI,S1,41,"Tidak Ada"
111059,11111059,111,"ILMU KOMUNIKASI",S1,54,"Tidak Ada"
111060,11111060,111,"PENDIDIKAN GURU PAUD",S1,42,"Tidak Ada"
111061,11111061,111,"ILMU PEMERINTAHAN",S1,54,"Tidak Ada"
111062,11111062,111,"EKONOMI ISLAM",S1,48,"Tidak Ada"
111063,11111063,111,"MANAJEMEN (PSDKU GAYO LUES)",S1,24,"Tidak Ada"
111078,11111078,111,"TEKNOLOGI INDUSTRI HASIL PERIKANAN",S1,15,"Tidak Ada"
111079,11111079,111,"BISNIS DIGITAL",S1,24,"Tidak Ada"
111080,11111080,111,"TEKNIK SUMBER DAYA AIR",S1,18,"Tidak Ada"
111081,11111081,111,"TEKNIK PERMINYAKAN",S1,18,"Tidak Ada"
111082,11111082,111,"TEKNIK LINGKUNGAN",S1,18,"Tidak Ada"
111065,11112065,111,"AKUNTANSI PERPAJAKAN",D4,24,"Tidak Ada"
111064,11113064,111,"KESEHATAN HEWAN",D3,9,"Tidak Ada"
111066,11113066,111,"MANAJEMEN AGRIBISNIS",D3,30,"Tidak Ada"
111067,11113067,111,"TEKNIK LISTRIK",D3,12,"Tidak Ada"
111068,11113068,111,"BUDIDAYA PETERNAKAN",D3,18,"Tidak Ada"
111069,11113069,111,"TEKNIK MESIN",D3,12,"Tidak Ada"
111071,11113071,111,"TEKNIK SIPIL",D3,24,"Tidak Ada"
111072,11113072,111,SEKRETARI,D3,12,"Tidak Ada"
111073,11113073,111,"MANAJEMEN PERUSAHAAN",D3,12,"Tidak Ada"
111075,11113075,111,AKUNTANSI,D3,24,"Tidak Ada"
111076,11113076,111,"KEUANGAN DAN PERBANKAN",D3,24,"Tidak Ada"
111077,11113077,111,"MANAJEMEN INFORMATIKA",D3,24,"Tidak Ada"
112001,11121001,112,"TEKNIK SIPIL",S1,165,"Tidak Ada"
