id_ptn,kode_ptn,nama_ptn,web,jenis,alamat,provinsi1,provinsi2,kota
111,1111,"UNIVERSITAS SYIAH KUALA",https://pmb.usk.ac.id/,"PTN Akademik","Universitas Syiah Kuala, Darusslam, Banda Aceh.Jl. T. Nyak Arief Darussalam Banda Aceh 23111",Aceh,,"Kota Banda Aceh"
112,1112,"UNIVERSITAS MALIKUSSALEH",http://pmb.unimal.ac.id/,"PTN Akademik","Universitas Malikussaleh Jalan Cot Tengku Nie, Reuleut, Kabupaten Aceh Utara",Aceh,,"Kabupaten Aceh Utara"
113,1113,"UNIVERSITAS TEUKU UMAR",https://pmb.utu.ac.id/,"PTN Akademik",,Aceh,,"Kabupaten Aceh Barat"
122,1122,"UNIVERSITAS NEGERI MEDAN",https://www.unimed.ac.id/pmb/,"PTN Akademik","Jalan Willem Iskandar Pasar V Medan Estate, Kec.Medan Tembung, Medan, Sumatera Utara 20221 (061) 6613365","Sumatera Utara",,"Kota Medan"
121,1121,"UNIVERSITAS SUMATERA UTARA",https://www.usu.ac.id/id/penerimaan,"PTN Akademik","Jalan Dr T Mansyur no 9 Medan","Sumatera Utara",,"Kota Medan"
114,1114,"UNIVERSITAS SAMUDRA",https://camaba.unsam.ac.id/,"PTN Akademik",,Aceh,,"Kota Langsa"
142,1142,"UNIVERSITAS NEGERI PADANG",https://spmb.unp.ac.id,"PTN Akademik","Jln. Prof. Dr. Hamka Air Tawar Padang - Sumatera Barat, Telepon: 0751-7053902 ","Sumatera Barat",,"Kota Padang"
141,1141,"UNIVERSITAS ANDALAS",https://pmb.unand.ac.id/,"PTN Akademik",,"Sumatera Barat",,"Kota Padang"
131,1131,"UNIVERSITAS RIAU","https://registrasiulang.unri.ac.id/ ","PTN Akademik","Jln. Bina Widya Km. 12,5 Simpang Baru Panam, Pekanbaru",Riau,,"Kota Pekanbaru"
132,1132,"UIN SULTAN SYARIF KASIM",https://sireg.uin-suska.ac.id,PTKIN," Jl.H.R Subrantas KM.18 No.155 Panam Pekanbaru",Riau,,"Kota Pekanbaru"
151,1151,"UNIVERSITAS JAMBI",https://regis.unja.ac.id/,"PTN Akademik","Jl. Raya Jambi - Muara Bulian KM.15 Mendalo Darat, Jambi Kodepos 36361. Telp. (0741) 583377",Jambi,,"Kabupaten Muaro Jambi"
133,1133,"UNIVERSITAS MARITIM RAJA ALI HAJI",https://penerimaan.umrah.ac.id/,"PTN Akademik","Jln. Politeknik Km 24, SenggarangTanjungpinang-29115Provinsi Kepulauan Riau","Kepulauan Riau",,"Kota Tanjungpinang"
