id_provinsi;nama_provinsi
1;Aceh
2;Bali
3;Banten
4;Bengkulu
5;Daerah Istimewa Yogyakarta
6;Dki Jakarta
7;Gorontalo
8;Jambi
9;Jawa Barat
10;Jawa Tengah
11;Jawa Timur
12;Kalimantan Barat
13;Kalimantan Selatan
14;Kalimantan Tengah
15;Kalimantan Timur
16;Kalimantan Utara
17;Kepulauan Bangka Belitung
18;Kepulauan Riau
19;Lampung
20;Maluku
21;Maluku Utara
22;Nusa Tenggara Barat
23;Nusa Tenggara Timur
24;Papua
25;Papua Barat
26;Papua Pegunungan
27;Papua Selatan
28;Papua Tengah
29;Riau
30;Sulawesi Barat
31;Sulawesi Selatan
32;Sulawesi Tengah
33;Sulawesi Tenggara
34;Sulawesi Utara
35;Sumatera Barat
36;Sumatera Selatan
37;Sumatera Utara
